Comentario,Nota,sentimento
read more: criticaemcena.blogspot.com/2021/11/o-bigamo.html,0.0,
I believe in Ida Lupino supremacy,0.0,
Men 🤬,4.0,positivo
lolz,4.0,positivo
"No la conocía a Ida Lupino hasta esta película que es espectacular.
La dirección impecable y el lenguaje transmite una sensación de actualidad a los planteos que parecen de una época muy remota pero en realidad siguen vigentes.
El guión es genial y las actuaciones están muy bien.
Voy a tener que ver más de ella sin duda.",4.0,positivo
0 empatía hacia este individuo.,2.5,negativo
😌,4.5,positivo
Increíble. No sé qué más decir.,5.0,positivo
"¡Sí apenas puede con una, señor! ¿Pa'qué quiere otra?",4.0,positivo
"Eine klassisch melodramatische Situation: Ein Mann liebt zwei Frauen, beide lieben ihn. Die eine kann keine Kinder bekommen, die andere schon. Problem: Mit Ersterer ist er seit acht Jahren verheiratet. Noch größeres Problem: Er heiratet die Zweite auch noch.
Genau dies ist die Lage von Harry Graham, einem angesehenen Handelsvertreter aus San Francisco. Mit seiner Gattin Eve will er ein Kind adoptieren, wofür aber sein Privatleben durchleuchtet wird. Dabei stößt der zuständige Beamte schließlich auf sein zweites Leben in Los Angeles, wo er bereits ein Baby hat. Dieses doppelte Spiel ist nicht nur aus moralischer Sicht fragwürdig, besonders den Frauen gegenüber. Durch die Heirat bricht Harry damit auch offiziell das Gesetz.
Und das ist schon ein springender Punkt für Ida Lupinos Film. ""Der Bigamist"" ist kein klassisches Melodrama und vor allem keine Morallehrstunde. Statt künstlicher Konstruktion baut die Regisseurin und Darstellerin der zweiten Frau Phyllis hier auf konsequenten Realismus, der aber noch viel tragischer und absurder ist. Keine der Figuren ist nämlich wirklich schlecht. Harry hat sich von seiner Frau etwas entfremdet, weil sie sich aufgrund der Unfähigkeit, Kinder zu gebären, immer mehr dem Geschäft widmet. Er liebt Eve noch immer, aber hat nun eben einen gewissen Überschuss an Liebe übrig und fühlt sich einsam auf den Geschäftsreisen. Deswegen gewinnt die gewitzte Phyllis schnell sein Herz, die ebenso einsam ist. Alle lieben einander, keiner hat eine böse Absicht. Natürlich begeht Harry einen kurzsichtigen Fehler, der ihn in ein moralisches Dilemma bringt. Lupino liegt es aber fern, ihn dafür zu verurteilen. Im Gegenteil, sie fühlt mit ihm mit, sowohl das Hoch der romantischen Liebe als auch das Tief des ausweglosen Schmerzes. Gerade das macht die Tragik des Ganzen aus: Es gibt keinen Bösen, nur einen Schuldigen. Einer, dessen beste, ja reine Absicht für alle Unglück bringt.
Lupinos Realismus zeichnet sich aber nicht bloß in einem komplexen humanistischen Moralverständnis aus. Vielmehr ist es auch ihre gekonnte Inszenierung. In ihrem wohl bekanntesten Film ""The Hitch-Hiker"" zeichnet sich diese durch konzentrierten Minimalismus und prägnante Bildsprache aus. Hier sind es besonders, passend zum Genre des Melodram, Schauspiel und Dialoge. Letztere sind ironischerweise gerade deswegen so realistisch, weil sie in gewisser Weise dem postmodernen Sprech Godards und besonders Tarantinos vorgreifen. Harrys Unterhaltung mit Phyllis über chinesischen Essen hätten auch Vincent Vega und Jules Winnfield führen können. Noch besser wird es aber, wenn auf der Bustour, bei der sich die beiden kennenlernen, über Filme und Stars schwadroniert wird. Der Höhepunkt: Harry ist großer Fan von ""Das Wunder von Manhattan"" mit Edmund Gwenn. Gwenn spielt hier in diesem Film aber auch den zuständigen Beamten für die Adoption.
Es sind Gespräche, die alltäglich sind, die man auch persönlich so führen würde, die deswegen aber gerade so ungewohnt für Hollywood sind. Man glaubt den Figuren dadurch aber auch jedes andere, emotionale, tiefschürfende Wort, weil sie auch sonst wie echte Menschen reden. Was dies aber noch zusätzlich begünstigt, ist das überragende Ensemble. Der erwähnte Gwenn ist entzückend altbacken, auf eine angebrachte Weise, im Grunde aber nur eine Nebenfigur. Im Zentrum steht freilich das Liebesdreieck. Die Damen sind beide gewohnt grandios, gerade in ihrer Gegensätzlichkeit. An Fontaine klebt das amerikanische Ideal, das etwas Biedere, dem sie aber durch so fundamental authentische Ehrlichkeit etwas überaus Menschliches gibt. Lupino ist ganz und gar nicht idealtypisch, aber gerade durch ihr keckes Charisma, ihre souveräne Weiblichkeit und die melancholische Leidenschaft umso Sympathischer. Beide sind nicht bloß Hälften einer Persönlichkeit oder ineinander passende Puzzleteile, sondern wirkliche Menschen. Ganz still und heimlich stiehlt ihnen darin aber Edmond O'Brien als Harry die Show. Sein Spiel ist leise, in sich gekehrt, ja unauffällig. Dennoch stellt er ein so tiefes und aufrichtiges Gefühlsleben dar, dass man so tief mit ihm bei seiner selbstverschuldeten Tragödie mitfühlt. Er hat keinerlei Starappeal, ist niemand Außergewöhnliches. Wie es auch vor Gericht sein Verteidiger sagt: ""Er ist ganz sicher kein Held, aber auch kein Monster."" Harry ist einfach ein echter Mensch.
Und mit diesem einfachen Faktum schafft Ida Lupino ein kleines Meisterstück. Ihre Inszenierung ist empfindsam, aber nicht zerbrechlich, schaut sich die schweigenden, aber doch vor Gedanken und Gefühl schreien Gesichter der Figuren ganz genau an, behält aber auch immer den Überblick für das Ganze. Selten war amerikanisches Kino so empathisch, so echt. Noch vor Cassavetes und fast noch mehr als Fuller definiert Lupino hier ein unabhängiges amerikanisches Kino, das schlicht vom Leben erzählt. Gleichzeitig antizipiert sie schon die filmische Reflexion, für die ihre männlichen Kollegen später wie Götter gefeiert werden. Man muss den Kanon in zweifacher Hinsicht ergänzen. Lupino, Fuller, Cassavetes, aber auch Tarantino, Godard, Lupino.",4.0,positivo
"Por si só já é uma situação decadente.
Ida Lupino imprime no filme a afirmação ""justificável não é perdoável"" e trabalha todos os personagens desse filme como peças sobressalentes um do outro.
As duas mulheres completam os desejos do homem, que busca na amante a cura para a solidão de suas viagens e acaba preenchendo a lacuna paternal que sua esposa, teoricamente, não pode suprir. É um longa que opta muito mais por estudar a situação e mostrar o que levou àquilo, do que encher a tela de julgamentos.
Você entende o protagonista mesmo que seja repulsivo. Mas de certa maneira Ida trata tudo com tanto carinho e ternura que se transforma num drama que investe suas forças no conflito de sentimentos ao invés do conflito ético e moral. Um filme que aposta no amor mesmo quando parece haver falta dele.",4.0,positivo
"Mubi
mubi.com/films/the-bigamist/player
Ang bilis ng elevator sa building nina Eve at Harry.
Ika-9 na taon din!",4.0,positivo
Je trouve que Ida Lupino a vraiment une vision très intéressante des relations hommes femmes et que les histoires qu’elle met en scène bien que un peu invraisemblable (déjà de par la situation mais même les dialogues qui sont d’une justesse mais qui dans la vrai vie ne passe pas vraiment) sont très réaliste dans la nature des relations. Tout comme le point de vue qu’elle a sur ses personnages que je trouve dans ce film très humains et affectueux.,4.0,positivo
"Lupino joue avec les codes du film noir, en mettant en scène un enquêteur assez inhabituel, et en ajoutant du suspense là où on ne s'y attend pas. Mais, au-delà d'être prenant, c'est surtout c'est un film très sensible. Les personnages sont traités avec profondeur et empathie, particulièrement lors de cette dernière scène déchirante. Je regrette de ne pas l'avoir vu en double feature avec ""Le bonheur"" d'Agnès Varda, je trouve qu'ils se répondent bien",0.0,
"Qué tremenda era Ida Lupino. Una mirada rompedora para la época sobre un tema polémico en clave noir y repleta de frases increíbles... Soledad, ternura y una gotita de misterio... ¡Hasta tiene una preciosísima escena de baile!",4.0,positivo
"Qui a deux femmes perd son âme, qui a deux maisons perd sa raison.
(Rohmer, Les Nuits de la Pleine Lune)
A meio, não conseguia perceber bem para onde é que o filme estava a ir, até que no final, não foi a lado nenhum.
The Bigamist é um filme onde toda a surpresa, todo o jus que possa existir surge no desenvolvimento da história, no encadeamento dos eventos. Isto porque, a conclusão não tem surpresa alguma, já a conhecemos pelo título.
Neste bizarre love triangle, é interessante o confronto entre o rosto de Joan Fontaine, severo e determinado, e de Ida Lupino, de traços doces, mais frágil. Este confronto serve para explicar (justificar ?) a divisão, a tal bigamia, de Harry, para quem Eve/Joan funciona como mãe (daí a sua infertilidade com Harry) e Phyllis/Ida como recreio.
Já o Mr. Jordan é perfeitamente insuportável - mas sentimos que o filme acaba estranhamente por justificar a importância do seu trabalho de importunação e invasão descarada de privacidade.
The Bigamist, no seu centro, é interessante, mas o seu propósito e motor não deixam de ser insólitos.",0.0,
"kkkkk
mano
maluco meteu o boneco na desconhecida
botou a culpa na esposa ""distante""
não teve coragem de contar pra nenhuma
foi pego com a boca na botija
foi processado
e possivelmente inocentado
pq o juiz entendeu o lado dele
MAS QUE LADO MEU AMIGO?????
no mais a produção é bem legalzinha",2.5,negativo
"[La Filmoteca • Ciclo ""La mirada de Ida Lupino"" #3]",0.0,
"Das peças mais formidáveis de uma Hollywood clássica em todos os sentidos, O Bígamo vira um espaço para Ida Lupino fazer perguntas difíceis e não necessariamente respondê-las. Um filme que traz para seu centro o sexo sem falar disso, que traz para o primeiro plano um desconforto do qual a cineasta nunca se afasta. Materializando uma complexidade moral rara para aquele contexto.
Econômica como sempre foi na construção visual, ela faz pelos detalhes que se destacam nesse minimalismo ferramentas precisas de construção melodramática. Já na primeira cena onde o personagem de Edmond O’Brien exita em assinar a autorização para que o departamento municipal de adoção investigue sua vida privada.
Tal qual o personagem de Edmund Gwenn, centro moral do filme, a obra vai desdobrando aos poucos o que tem pra ser revelado. Nos apresentando essas pistas da forma de olhar e acompanhando o protagonista sendo posto contra a parede.
Não é no mistério disso, entretanto, que a diretora está interessada. (se fosse isso, aliás, o filme não traria no título o que se descobre logo na virada do primeiro para o segundo ato: o protagonista tem duas famílias). O foco de Lupino é esse trazer à tona tudo o que há de mais complexo no que circula o crime cometido pelo homem.
Para tal, faz uma das coisas mais inventivas que poderia fazer nesse contexto, nessa Hollywood, nessa sociedade: conta a história pelo olhar do culpado por esse crime.
Escancara, no flashback que relata o relacionamento com a amante e tudo o que veio depois disso, uma multiplicidade de sentimentos. Torna ele porta voz não só de sua história individual como um personagem que é um representante dos questionamentos feitos à época a instituições sagradas como o casamento.
De quebra, traz o sexo à tona. E os filhos. Não foge à ideia deles ao mesmo tempo enquanto bênçãos e como fardo de diversas formas.
No todo, é fabuloso como O Bígamo se torna um melodrama que contém no seu miolo, um film noir que se materializa na história contada pelo seu personagem principal. A narração do áudio, o tormento emocional, moral, culpado do relato e, claro, a concepção visual de tudo isso. (os corrimãos das escadas da pousada onde ela mora que, projetados na parede pela luz baixa, evidenciam ao redor dele uma prisão)
Dos filmes feitos para que o elenco brilhe, de Joan Fontaine a Edmund Gwenn (o Papai Noel de Milagre na Rua 34) se tornam uma das maiores forças do longa. E mesmo Lupino, no papel da “outra” dá o próprio corpo para o papel daquela que muita gente na época (e hoje) apontaria como culpada dos crimes do amado.
A resolução que vem amarga é só uma forma de coroar o que há de melhor aqui. O como ela nunca deixa de lado a complexidade, como não se afasta do desconforto, não condena seu protagonista mas não por isso deixa de questioná-lo. Coisa que numa era do cancelamento fácil discutido dia a dia na indústria cultural é muitas vezes abafada pelo peso morto das saídas fáceis e das soluções simples que não buscam nada mais que uma fuga covarde de tudo.",4.0,positivo
"Impresiones:
-melodrama amoroso, original (por su argumento poliamoroso), progresivamente intenso, y relevante (por su tono modulado entre romántico y desdramatizado)
-notable actuación del pusilánime E. O'Brien, la amargamente desencantada I. Lupino y la inocente J. Fontaine
-buena puesta en cuadro, en planos largos, incluso profundos
-buena música de L. Stevens, sombríamente romántica",4.0,positivo
se inspiraría bad gyal en el bígamo para componer zorra?,4.0,positivo
"Achei que é quase um ""o que aconteceria se a Celia e o Alec de Brief Encouter decidissem ficar juntos"". Eu gostei do ar noir em uma história não tipicamente representada no gênero. E achei a representação do personagem que é bígamo interessante, ela é bem ""sentimental"" (não achei uma palavra melhor), mas tipo eu me simpatizei com o personagem, ainda que o discursinho dele de ""me desapaixonei pela minha esposa por que ela é muita focada no trabalho"" é incrivelmente machista.",4.0,positivo
Ida Fancam please,5.0,positivo
Criterion Channel,0.0,
"Les évenements précèdent parfois les intentions. Ed O'Brien n'incarne pas un personnage retors ou mal intentionné, il se retrouve dans une situation inextricable presque par hasard, par la force des choses. Paradoxalement ce qui le rend touchant c'est sa volonté de satisfaire et d'aimer sincérement deux femmes. On a du mal à le définir comme infidèle et Lupino ne le réduit certainement pas à cela. M. Jordan (Edmund Gwenn) résume parfaitement le dilemme du spectateur  : ""I can't figure out my feelings towards you, I despise you, and I pity you. I don't even want to shake your hand, and yet I almost wish you luck."" Il tente meme à plusieurs reprises de dire la vérité sur sa double vie. D'un coté, l'une ne veut pas savoir et de l'autre, elle ne veut pas l'entendre. Etonnant de voir un personnage masculin, dénué de toute malice et si sensible dans le cinéma de l'époque.",0.0,
"이중 결혼으로 법정에 선 남자
Travelling salesman 해리.
결혼 8년째지만 아름다운 부인과의 사이엔 아이가 없다.
그 부인은 아이가 없는 일상의 무료함과 고독을 사업에 매진하며 잊는다.
일에 몰두하는 그녀대신 새록 새록 정을 들인 가난한 독신녀.
아이가 생기며 결국 결혼을 하게 된다.
둘 모두를 사랑하지만 두 집 살림은 범죄라는 교훈 ㅎ
그런데 왠지 남자에게 동정적인, 그리고 심정적으로 이해가 간다는 연출이 여자 감독, 루피노에게서 나온다.
죠앤 폰테인때문에 보게 된 영화인데,, 좀 피곤해 보이는 얼굴.
(아, 그리고.. 회사 공금으로 근사한 저녁을 먹을 수 있다는 것을 여러번 알려주는 센스는 어디서 나온거지ㅎㅎ)",2.5,negativo
se hubiesen casado y criaban a danny juntas 🙄,0.0,
"Marido e mulher participam de uma entrevista para tentar a adoção de uma criança em São Francisco, Califórnia. Ótimo enredo para um tema muito delicado que às vezes pode nos deixar com ambiguidades nos sentimentos. Ótimo elenco e atuações. Bela direção da Ida Lupino. Envolvente.",4.0,positivo
Noirvember #18,4.0,positivo
Ida Lupino sensacional.,4.0,positivo
Fácilmente olvidable.,2.0,negativo
in ida lupino i trust,4.0,positivo
"como el sur, pero gringo jajaja

me entiendes?",4.0,positivo
El lenguaje cinematográfico de Ida es excepcional. Una película de 1953 que parece filmada ayer.,4.0,positivo
A rare classic,4.0,positivo
开头悬疑片的架势还做得蛮足的，但是最后却没往那边走啊哈哈哈。,4.0,positivo
Fairly good.,4.0,positivo
Men are trash: la película.,4.0,positivo
é macho joga fora.,4.0,positivo
"헐치우드 공식의 사랑타령에 한마디 남기는 것은 특별함이 있어서다
귀가 찢어질 듯 들리는 오프닝 장면의 짜라자 짠 음악이 없고 허흥하는 사자도 안 보인다
또 하나는 헐리우드에서 찾기 힘든 여성이 연출한 아주 특별한 영화다",1.0,negativo
"""O Bígamo"" conta a história de Harry, um bem sucedido executivo, casado com uma mulher que também é sua sócia, porém infértil, decidem adotar uma criança. Ele viaja constantemente e alega solidão. Acaba por conhecer outra mulher e ter outra família em outro Estado. O responsável pelo processo de adoção está investigando a sua vida, será que irá descobrir esse seu terrível segredo?
Um filme sensível, à frente de seu tempo (é de 1953!) em relação a postura das mulheres, porém ainda assim um tanto machista, ao apostar apenas na visão de Harry e sua ""solidão"" como desculpa para traição. Porém o final do filme se redime completamente, com o discurso final do Juiz.
Um bom filme, curto e sólido. Poderia ter mais implicações, como a visão das personagens femininas. Harry é um covarde que faz as mulheres sofrerem. Ainda bem que o final faz justiça à sua covardia.",2.5,negativo
"『二重結婚者』アイダ・ルピノ
悲しい。ひたすら悲しい回想と成り行きが、静かに粛々と語られる悲しさに支配されている。ただ、その悲しさの渦中にふと立ち現れるささやかな幸福や安堵、笑いも無いわけではなく、我々はその小さな幸福を岩清水のようにすくって飲まずにはおれない。",4.0,positivo
“Gallant”,0.0,
"Além de mostrar um talento extraordinário para a parte visual do filme, Ida Lupino faz deste drama controverso à época, um ótimo film-noir tanto em estilo quanto em tema.
As atuações estão no topo, movimentos de câmera maravilhosos, e uma ambiguidade moral que eu jamais acreditaria ver em um filme da década de 50.
O problema está na falta de simpatizar com o personagem principal. O filme faz um excelente trabalho em construir como ele chegou na situação que chegou, e afasta o julgamento limpando a maioria dos detalhes mais questionáveis. Mas, e eu admito que este problema é pessoal, pela lente moral de 2019, este homem não é tão ambíguo moralmente. Podendo ter resolvido a questão antes do escalonamento.
Quero checar mais filmes da diretora, com toda certeza.",4.0,positivo
Men are dumb.,4.0,positivo
RM,0.0,
"Ida é excelente! Deveria ser muito mais exaltada do que é, pois sua obra Noir é admirável!",4.0,positivo
Ida Lupino was a damn master.,4.5,positivo
"Escrita y dirigida por la actriz que hace de “la otra”, sin duda su óptica distinta a la masculina enaltece esta cinta. Melodrama con sensibilidad noir, lo mejor es que evade las respuestas fáciles y los juicios apresurados. Como dice el personaje del doctor, el bígamo titular al mismo tiempo indigna y da lástima.",4.0,positivo
Sympatisk karaktärsstudie av man med två fruar. Moraliserar inte men regissören Ida Lupinos rollgestalt överglänser sin rival Joan Fontaine så mycket att filmen hamnar i obalans. Bra slut.,2.5,negativo
06/06/2018,4.0,positivo
1002 Movies #592.,4.0,positivo
"Movie #436 of ""1001 Movies You Must See Before You Die"".",2.0,negativo
Jesus Christ.,4.0,positivo
someone hold me,5.0,positivo
"Um filme de guerra que no final das contas é um filme sobre o espaço? Ou pelo menos reflete muito bem como esses três espaços sempre presentes (Vietnã, cidade industrial, floresta montanhosa) se contaminam e contaminam aqueles que ali se encontram. Maldições implícitas na própria essência dos planos: os movimentos de câmera que reservam uma iminência latente, a espacialidade reveladora dos planos gerais, a decupagem do ambiente em si. Sem falar na própria pictoriedade mórbida da fumaça que norteia tudo: a fumaça da fábrica que remete às explosões na guerra que remete a neblina etérea da montanha). Paisagens que só reiteram a morte (guerra, mal-estar social, caça) e representam uma espécie de progresso resignativo do proletariado, sendo a reunião final a imagem mais definidora nesse sentido.",5.0,positivo
"Ou Tema do Traidor e do Herói, por Michael Cimino.

Notas sobre alguns filmes que tiveram um impacto em mim como espectador:
Sessão das Dez no SBT, domingo à noite, entre 1990 e 1991, com a dublagem original: o homem fardado que chega sozinho na cidadezinha ao pé da serra, mãos no bolso, procurando um lugar para comer; a intromissão dessa personagem extraordinária no cotidiano ordinário chefiado pelo xerife acomodado, que nos é apresentado importunando um pedinte (""Vai tomar banho…",5.0,positivo
"Os grandes clássicos do cinema de guerra investem em narrativas de indivíduos para nos guiar em um pesadelo político e cinematográfico. Que Apocalypse Now é um estudo de personagem sobre a decadência psicológica de um homem (e toda uma geração), todo mundo sabe. Mas quando você pensa em Apocalypse Now, qual a primeira cena que vem à sua cabeça? Provavelmente os helicópteros explodindo a vila vietnamita ao som de Wagner. Isso porque virou uma convenção em filmes de guerra essa relação de alternância entre esfera individual e esfera bélica/geopolítica. Mas em The Deer Hunter, o Cimino basicamente não liga pra geopolítica, é um filme de guerra completamente pessoal, até nas cenas no Vietnam. Não existe uma grande batalha aqui e a guerra em si não deve ser 1/3 do filme. Cimino nunca desvia o olhar de seus personagens, a câmera não é abalada por tiros ou questões que estão além da realidade dessas pessoas, mesmo que influenciem diretamente no destino delas. O que importa de verdade são as relações dessas pessoas simples de uma cidadezinha.",4.5,positivo
